fold,model,split,cindex
1,GBM,train,0.6585259103641457
1,GBM,test,0.4487179487179487
1,RF,train,0.9417016806722689
1,RF,test,0.48717948717948717
1,CAT,train,0.7730217086834733
1,CAT,test,0.41666666666666663
1,XGB,train,0.8070728291316527
1,XGB,test,0.5064102564102564
1,Ensemble_AvgBoost,train,0.7827380952380952
1,Ensemble_AvgBoost,test,0.4423076923076923
1,Ensemble_MedianBoost,train,0.8049719887955182
1,Ensemble_MedianBoost,test,0.48076923076923084
1,Ensemble_AvgAll,train,0.92296918767507
1,Ensemble_AvgAll,test,0.4358974358974359
2,GBM,train,0.7212009803921569
2,GBM,test,0.5833333333333334
2,RF,train,0.96875
2,RF,test,0.5
2,CAT,train,0.7651435574229691
2,CAT,test,0.6153846153846153
2,XGB,train,0.8275560224089635
2,XGB,test,0.4166666666666667
2,Ensemble_AvgBoost,train,0.7789740896358543
2,Ensemble_AvgBoost,test,0.5512820512820513
2,Ensemble_MedianBoost,train,0.7902661064425771
2,Ensemble_MedianBoost,test,0.5833333333333333
2,Ensemble_AvgAll,train,0.9249824929971988
2,Ensemble_AvgAll,test,0.5
3,GBM,train,0.6897321428571428
3,GBM,test,0.8384615384615385
3,RF,train,0.9303743131868132
3,RF,test,0.8692307692307693
3,CAT,train,0.7259615384615384
3,CAT,test,0.9307692307692308
3,XGB,train,0.7722355769230769
3,XGB,test,0.8692307692307693
3,Ensemble_AvgBoost,train,0.7618475274725275
3,Ensemble_AvgBoost,test,0.9384615384615385
3,Ensemble_MedianBoost,train,0.7427026098901099
3,Ensemble_MedianBoost,test,0.9153846153846154
3,Ensemble_AvgAll,train,0.914320054945055
3,Ensemble_AvgAll,test,0.9384615384615385
4,GBM,train,0.7130837912087913
4,GBM,test,0.7076923076923076
4,RF,train,0.9474587912087913
4,RF,test,0.8923076923076924
4,CAT,train,0.7491414835164835
4,CAT,test,0.8461538461538461
4,XGB,train,0.8672733516483516
4,XGB,test,0.7153846153846154
4,Ensemble_AvgBoost,train,0.8105254120879121
4,Ensemble_AvgBoost,test,0.8
4,Ensemble_MedianBoost,train,0.7724072802197802
4,Ensemble_MedianBoost,test,0.7307692307692308
4,Ensemble_AvgAll,train,0.9418784340659341
4,Ensemble_AvgAll,test,0.8769230769230769
5,GBM,train,0.7076751373626373
5,GBM,test,0.6846153846153846
5,RF,train,0.9372424450549451
5,RF,test,0.5076923076923077
5,CAT,train,0.7117960164835164
5,CAT,test,0.7153846153846154
5,XGB,train,0.7876888736263736
5,XGB,test,0.4846153846153846
5,Ensemble_AvgBoost,train,0.7638221153846154
5,Ensemble_AvgBoost,test,0.7230769230769232
5,Ensemble_MedianBoost,train,0.7696600274725274
5,Ensemble_MedianBoost,test,0.5769230769230769
5,Ensemble_AvgAll,train,0.9259958791208791
5,Ensemble_AvgAll,test,0.5692307692307692
6,GBM,train,0.7319972236682284
6,GBM,test,0.47916666666666663
6,RF,train,0.9705014749262537
6,RF,test,0.5972222222222223
6,CAT,train,0.7169876800277634
6,CAT,test,0.6805555555555556
6,XGB,train,0.8607496095783447
6,XGB,test,0.6944444444444444
6,Ensemble_AvgBoost,train,0.8217074440395628
6,Ensemble_AvgBoost,test,0.6944444444444446
6,Ensemble_MedianBoost,train,0.8280409508936318
6,Ensemble_MedianBoost,test,0.6041666666666666
6,Ensemble_AvgAll,train,0.939614783966684
6,Ensemble_AvgAll,test,0.6805555555555556
7,GBM,train,0.6763838278674301
7,GBM,test,0.47916666666666663
7,RF,train,0.9429116779455146
7,RF,test,0.6666666666666666
7,CAT,train,0.6893978830470241
7,CAT,test,0.6180555555555556
7,XGB,train,0.775897969807392
7,XGB,test,0.4444444444444445
7,Ensemble_AvgBoost,train,0.7550754815200417
7,Ensemble_AvgBoost,test,0.5416666666666667
7,Ensemble_MedianBoost,train,0.7676557348603159
7,Ensemble_MedianBoost,test,0.47916666666666663
7,Ensemble_AvgAll,train,0.9337150789519347
7,Ensemble_AvgAll,test,0.6944444444444444
8,GBM,train,0.7063161547804963
8,GBM,test,0.6944444444444444
8,RF,train,0.9407426687489155
8,RF,test,0.4375
8,CAT,train,0.7731216380357453
8,CAT,test,0.7152777777777778
8,XGB,train,0.8013187575915321
8,XGB,test,0.5694444444444445
8,Ensemble_AvgBoost,train,0.8094742321707443
8,Ensemble_AvgBoost,test,0.7013888888888888
8,Ensemble_MedianBoost,train,0.7907339927121291
8,Ensemble_MedianBoost,test,0.6111111111111112
8,Ensemble_AvgAll,train,0.9371854936664931
8,Ensemble_AvgAll,test,0.5208333333333334
9,GBM,train,0.6450633350685406
9,GBM,test,0.3402777777777778
9,RF,train,0.9148880791254553
9,RF,test,0.41666666666666663
9,CAT,train,0.7491757765052923
9,CAT,test,0.5972222222222222
9,XGB,train,0.7985424258198854
9,XGB,test,0.45138888888888884
9,Ensemble_AvgBoost,train,0.8011452368558043
9,Ensemble_AvgBoost,test,0.5416666666666666
9,Ensemble_MedianBoost,train,0.7945514488981433
9,Ensemble_MedianBoost,test,0.4305555555555555
9,Ensemble_AvgAll,train,0.918445254207878
9,Ensemble_AvgAll,test,0.4305555555555555
10,GBM,train,0.732604546243276
10,GBM,test,0.6111111111111112
10,RF,train,0.9602637515183066
10,RF,test,0.75
10,CAT,train,0.7680895366996356
10,CAT,test,0.7777777777777778
10,XGB,train,0.8145063335068542
10,XGB,test,0.5138888888888888
10,Ensemble_AvgBoost,train,0.8040083289953148
10,Ensemble_AvgBoost,test,0.5972222222222222
10,Ensemble_MedianBoost,train,0.8011452368558043
10,Ensemble_MedianBoost,test,0.6319444444444444
10,Ensemble_AvgAll,train,0.9413499913239632
10,Ensemble_AvgAll,test,0.7083333333333334
