model,split,mean,std,min,25%,50%,75%,max,n
GBM,train,0.6982583049812845,0.03014281228302729,0.6450633350685406,0.6797209066148583,0.7069956460715667,0.7191716830963155,0.732604546243276,10
GBM,test,0.5866987179487179,0.1500801004769101,0.3402777777777778,0.47916666666666663,0.5972222222222223,0.6919871794871795,0.8384615384615385,10
RF,train,0.9454834882387264,0.017208721626856414,0.9148880791254553,0.9381175009784377,0.9423066793088917,0.9570625114409277,0.9705014749262537,10
RF,test,0.6124465811965811,0.17467382937769177,0.41666666666666663,0.49038461538461536,0.552457264957265,0.7291666666666666,0.8923076923076924,10
CAT,train,0.742183681888344,0.029460817351345415,0.6893978830470241,0.7192311446362072,0.7491586300108879,0.767353041880469,0.7731216380357453,10
CAT,test,0.6913247863247862,0.14355643953359903,0.41666666666666663,0.6160523504273504,0.6979166666666667,0.7621794871794871,0.9307692307692308,10
XGB,train,0.8112841750042428,0.03243777696565841,0.7722355769230769,0.7904022616747516,0.8041957933615924,0.8242936001834362,0.8672733516483516,10
XGB,test,0.5665918803418805,0.14676998799682398,0.4166666666666667,0.4596955128205128,0.5101495726495726,0.6631944444444444,0.8692307692307693,10
Ensemble_AvgBoost,train,0.7889317963400473,0.023539117717570654,0.7550754815200417,0.7676101089474252,0.7919416660469498,0.8081077563768869,0.8217074440395628,10
Ensemble_AvgBoost,test,0.6531517094017094,0.147085059971995,0.4423076923076923,0.5440705128205129,0.6458333333333335,0.7176549145299146,0.9384615384615385,10
Ensemble_MedianBoost,train,0.7862135377040538,0.02388158412600373,0.7427026098901099,0.7703468406593406,0.7905000495773531,0.7994967898663891,0.8280409508936318,10
Ensemble_MedianBoost,test,0.6044123931623931,0.13979072983115762,0.4305555555555555,0.5048076923076923,0.59375,0.6267361111111112,0.9153846153846154,10
Ensemble_AvgAll,train,0.9300456650921092,0.009987711100344755,0.914320054945055,0.9234725140056022,0.9298554790364069,0.9390074613916363,0.9418784340659341,10
Ensemble_AvgAll,test,0.6355235042735041,0.17594937709193453,0.4305555555555555,0.5052083333333334,0.6248931623931624,0.7048611111111112,0.9384615384615385,10
